ticker,last_close,last_date,1W,2W,1M,3M,6M,12M
NV20,11867.0,2026-07-08,83411.61,84063.12,85151.44,81911.06,7540.85,7811.33
ACCORD,187.25,2026-07-07,4.99,33.85,177.2,553.58,545.69,760.92
SIGNORIA,123.3,2026-07-07,4.98,16.49,116.32,116.51,36.62,11.28
GRANDOAK,50.18,2026-07-08,-0.26,14.91,85.3,,,
VIJIFIN,7.36,2026-07-08,3.95,28.45,84.46,128.57,108.5,221.4
SETL,265.6,2026-07-08,-0.78,13.78,72.37,98.09,90.03,58.19
MADHUSUDAN,256.05,2026-07-07,1.19,19.23,65.14,71.62,101.3,74.07
AEGISLOG,1245.4,2026-07-08,-11.62,6.07,64.83,104.08,66.76,66.23
SSFL,284.0,2026-07-07,-0.89,6.33,61.59,162.36,125.84,89.91
UNICHEMLAB,572.7,2026-07-08,23.73,26.65,60.47,73.91,35.61,-4.4
SRIVASAVI,82.0,2026-07-07,-4.71,21.84,60.16,69.6,64.0,21.03
EBGNG,640.3,2026-07-08,-0.19,12.52,60.14,70.11,117.2,
TIRUPATIFL,66.06,2026-07-08,-7.98,13.94,54.96,49.97,75.18,45.92
VIPULLTD,15.48,2026-07-08,5.31,13.74,53.27,53.88,50.44,42.54
CBAZAAR,6.1,2026-07-07,2.52,24.49,52.5,22.0,60.53,-6.15
RAMCOSYS,856.45,2026-07-08,-2.63,7.97,52.12,101.92,66.95,123.15
SANGINITA,48.64,2026-07-08,4.02,14.72,51.06,135.09,322.59,361.92
BTTL,52.26,2026-07-08,-4.74,14.03,50.65,,,
UNIHEALTH,688.6,2026-07-07,4.99,14.85,50.42,74.77,119.26,305.06
AEGISVOPAK,276.61,2026-07-08,-1.2,18.83,50.12,45.16,17.16,10.62
ZSARACOM,13644.0,2026-07-08,31.99,43.62,48.71,,,
SUPREMEENG,1.56,2026-07-08,4.0,11.43,48.57,50.0,1.3,-6.59
RELTD,179.84,2026-07-08,1.49,10.34,47.23,32.44,26.36,37.41
INDSWFTLAB,225.47,2026-07-08,1.68,9.84,43.85,50.03,147.09,90.79
SPAL,1161.0,2026-07-08,5.16,10.42,42.52,50.67,65.35,40.11
AMANTA,186.47,2026-07-08,8.89,15.96,42.51,70.4,69.49,
RML,1258.2,2026-07-08,0.78,11.76,42.02,77.05,54.93,42.96
ONELIFECAP,37.32,2026-07-08,-4.6,11.1,41.85,147.97,132.96,163.19
DBSTOCKBRO,44.67,2026-07-08,23.98,39.59,41.58,68.44,77.9,41.72
SYNOPTICS,79.0,2026-07-07,4.64,14.49,41.32,88.54,44.16,-15.19
CUPID,196.98,2026-07-08,-7.56,4.55,40.33,114.48,146.75,810.93
